user_score,publisher,rating,title,metascore,platform,genre,developer
7.2,Square Enix,T,Forgotton Anne,80,"PlayStation 4,PC,Xbox One","Adventure,General",Throughline Games
6.1,505 Games,E10+,Laser League,82,"PlayStation 4,PC,Xbox One","Sports,Futuristic,Team",roll7
7.2,Contingent99,E10+,Wizard of Legend,73,"PlayStation 4,PC,Switch,Xbox One","Role-Playing,Action RPG",Contingent99
7.7,Spearhead Games,T,Omensight,78,"PlayStation 4,PC","Adventure,3D,First-Person",Spearhead Games
8.3,Atlus,T,Dragon's Crown Pro,81,"PlayStation 4,PlayStation 3,PlayStation Vita","Action,Beat-'Em-Up,2D",Vanillaware
7.1,Bandai Namco Games,T,Little Witch Academia: Chamber of Time,61,"PlayStation 4,PC","Action,General",Bandai Namco Games
6.8,Rising Star Games,E,Trailblazers,64,"PlayStation 4,PC,Xbox One","Racing,Arcade,Futuristic",Supergonk Ltd.
6.3,Nintendo,T,Tokyo Mirage Sessions #FE,80,Wii U,"General,Fantasy,Role-Playing,Strategy,Turn-Based,Japanese-Style,General",Atlus
7.9,Warner Bros. Interactive Entertainment,E10+,LEGO Star Wars: The Force Awakens,74,"Wii U,3DS,iPhone/iPad,PC,PlayStation 3,PlayStation 4,PlayStation Vita,Xbox 360,Xbox One","Action Adventure,General",TT Games
8,Red Column,E10+,3Souls,49,Wii U,"Action,Action Adventure,Platformer,2D",Red Column
8,BitFinity,E,Tadpole Treble,85,"Wii U,PC","Action,Rhythm,Music",BitFinity
7.6,Versus Evil,E10+,Armikrog,56,"Wii U,PC,PlayStation 4,Xbox One","Adventure,General,Point-and-Click",Pencil Test Studios
8.6,Tom Happ,E10+,Axiom Verge,89,"Wii U,PC,PlayStation 4,PlayStation Vita,Switch,Xbox One","Action Adventure,General",Tom Happ
6.4,Thunder Lotus Games,T,Jotun: Valhalla Edition,79,"Wii U,PC,PlayStation 4,Switch,Xbox One","Action,General",Thunder Lotus Games
5.9,OXiAB Game Studio,E,Canvaleon,49,Wii U,"Action,Platformer,2D",OXiAB Game Studio
6.9,Nordic Games Publishing,E10+,Legend of Kay Anniversary,67,"Wii U,PC,PlayStation 3,PlayStation 4,Switch,Xbox 360","Action Adventure,General","Neon Studios, Kaiko"
7.5,Frogmind,E,BADLAND: Game of the Year Edition,80,"Wii U,iPhone/iPad,PC,PlayStation 3,PlayStation 4,PlayStation Vita,Xbox One","Action,Action Adventure,Arcade,Linear",Frogmind
8.5,GalaxyTrail,E10+,Freedom Planet,84,"Wii U,PC,PlayStation 4","Action,Platformer,2D",GalaxyTrail
8,EnjoyUp Games,E10+,FullBlast,59,"Wii U,PC","Action,Shooter,Shoot-'Em-Up,Vertical",Ufo Crash Games
7.8,13AM Games,E,Runbow,82,"Wii U,3DS,PC,PlayStation 4,Switch,Xbox One","Action,General,Platformer,2D",13AM Games
6.6,Nintendo,M,Devil's Third,43,Wii U,"Action Adventure,General,Modern,Action,Shooter,Third-Person,Arcade",Valhalla Game Studios
8.1,Nintendo,E10+,Ittle Dew 2+,77,"Switch,PC,PlayStation 4,Xbox One","Role-Playing,Action RPG",Ludosity Interactive
2.3,Carbon Fire Studio,E,Frenchy Bird,30,Wii U,"Action,Platformer,2D",Carbon Fire Studio
7.5,Ripstone,T,Stick it to the Man!,81,"Wii U,PC,PlayStation 3,PlayStation 4,PlayStation Vita,Switch,Xbox One","Action,Platformer,3D",Zoink!
5.3,EnjoyUp Games,E,Abyss,59,Wii U,"Action,General",EnjoyUp Games
7.7,Dakko Dakko,E,Scram Kitty and His Buddy on Rails,79,"Wii U,PlayStation 4,PlayStation Vita","General,Action,General",Dakko Dakko
6.3,Two Tribes,T,Swords & Soldiers HD,78,"Wii U,iPhone/iPad,PC,PlayStation 3","Strategy,General",Two Tribes
6.2,The Game Bakers,E,Squids Odyssey,68,"Wii U,3DS","Role-Playing,Console-style RPG,Japanese-Style",The Game Bakers
7.4,Ludosity Interactive,E10+,Ittle Dew,79,"Wii U,iPhone/iPad,PC","Role-Playing,General",Ludosity Interactive
7.3,Annapurna Interactive,T,What Remains of Edith Finch,92,"Xbox One,PC,PlayStation 4","Adventure,3D,First-Person",Giant Sparrow
8.9,Nintendo,E,Mario Kart 8,88,Wii U,"Driving,Racing,Arcade,Kart,Kart,Automobile",Nintendo
6.2,2K Games,T,XCOM 2: War of the Chosen,94,"PlayStation 4,PC,Xbox One","Strategy,Turn-Based,Tactics",Firaxis Games
6.8,EA Sports,E,Madden NFL 13,75,"Wii U,PlayStation 3,PlayStation Vita,Xbox 360","Sim,Sports,Traditional,Team,Football,Sim",EA Tiburon
6.3,EA Sports,E,FIFA Soccer 13,69,"Wii U,3DS,iPhone/iPad,PC,PlayStation 2,PlayStation 3,PlayStation Vita,Xbox 360","Sim,Sports,Traditional,Team,Soccer,Sim",Electronic Arts
7.6,Electronic Arts,M,Mass Effect 3: Special Edition,85,"Wii U,PC,PlayStation 3,Xbox 360","Action RPG,Role-Playing,Action RPG",Straight Right
7.4,Warner Bros. Interactive Entertainment,E10+,Scribblenauts Unlimited,73,"Wii U,3DS,iPhone/iPad,PC","Puzzle,Action,Platformer,Platformer,2D,2D",5TH Cell
