user_score,publisher,rating,title,metascore,platform,genre,developer
6.8,Rising Star Games,E,Trailblazers,64,PS4,"Racing,Arcade,Futuristic",Supergonk Ltd.
7.2,Contingent99,E10+,Wizard of Legend,73,PS4,"Role-Playing,Action RPG",Contingent99
7.7,Bandai Namco Games,T,Little Witch Academia: Chamber of Time,61,PS4,"Action,General",Bandai Namco Games
6.1,505 Games,E10+,Laser League,82,PS4,"Sports,Futuristic,Team",roll7
7.0,Square Enix,T,Forgotton Anne,80,PS4,"Adventure,General",Throughline Games
6.6,UKIYO PUBLISHING LIMITED,T,Death Road to Canada,80,PS4,"Action,General",Rocketcat Games
8.2,Atlus,T,Dragon's Crown Pro,81,PS4,"Action,Beat-'Em-Up,2D",Vanillaware
6.2,Funcom,M,Conan Exiles,71,PS4,"Action Adventure,Survival",Funcom
3.1,Activision,,Destiny 2: Warmind,63,PS4,"Action,Shooter,First-Person,Arcade",Bungie
5.8,Fullbright,M,Tacoma,79,PS4,"Adventure,General",Fullbright
6.6,Uppercut Games Pty Ltd,E10+,City of Brass,64,PS4,"Action Adventure,General",Uppercut Games Pty Ltd
6.5,Metalhead Software,E,Super Mega Baseball 2,76,PS4,"Sports,Team,Baseball,Arcade",Metalhead Software
6.2,Big Ant Studios,E,AO International Tennis,48,PS4,"Sports,Individual,Tennis",Big Ant Studios
7.0,Devolver Digital,E10+,The Swords of Ditto,73,PS4,"Role-Playing,Action RPG",One Bit Beyond
5.8,NIS America,M,The 25th Ward: The Silver Case,68,PS4,"Adventure,Visual Novel",Grasshopper Manufacture
4.8,Capcom,M,Devil May Cry HD Collection,60,PS4,"Miscellaneous,Compilation","Pipeworks Software, Inc., NeoBards Entertainment"
4.3,Tripwire Interactive,M,Killing Floor: Incursion,66,PS4,"Action,Shooter,First-Person,Arcade",Tripwire Interactive
7.0,Techland,E,Pure Farming 2018,68,PS4,"Simulation,Virtual,Career",Techland
3.5,Maximum Games,E,Beast Quest,33,PS4,"Action,General",Maximum Games
