user_score,rating,title,metascore,platform,genre,developer
7.0,T,Forgotton Anne,80,PS4,"Adventure,General",Throughline Games
7.7,T,Little Witch Academia: Chamber of Time,61,PS4,"Action,General",Bandai Namco Games
8.2,T,Dragon's Crown Pro,81,PS4,"Action,Beat-'Em-Up,2D",Vanillaware
6.8,E,Trailblazers,64,PS4,"Racing,Arcade,Futuristic",Supergonk Ltd.
7.2,E10+,Wizard of Legend,73,PS4,"Role-Playing,Action RPG",Contingent99
7.7,T,Omensight,78,PS4,"Adventure,3D,First-Person",Spearhead Games
6.6,T,Death Road to Canada,80,PS4,"Action,General",Rocketcat Games
6.1,E10+,Laser League,82,PS4,"Sports,Futuristic,Team",roll7
5.8,M,Tacoma,79,PS4,"Adventure,General",Fullbright
3.1,,Destiny 2: Warmind,63,PS4,"Action,Shooter,First-Person,Arcade",Bungie
6.2,M,Conan Exiles,71,PS4,"Action Adventure,Survival",Funcom
4.3,M,Killing Floor: Incursion,66,PS4,"Action,Shooter,First-Person,Arcade",Tripwire Interactive
6.6,E10+,City of Brass,64,PS4,"Action Adventure,General",Uppercut Games Pty Ltd
4.8,M,Devil May Cry HD Collection,60,PS4,"Miscellaneous,Compilation","Pipeworks Software, Inc., NeoBards Entertainment"
6.2,E,AO International Tennis,48,PS4,"Sports,Individual,Tennis",Big Ant Studios
6.5,E,Super Mega Baseball 2,76,PS4,"Sports,Team,Baseball,Arcade",Metalhead Software
5.8,M,The 25th Ward: The Silver Case,68,PS4,"Adventure,Visual Novel",Grasshopper Manufacture
7.0,E10+,The Swords of Ditto,73,PS4,"Role-Playing,Action RPG",One Bit Beyond
7.0,T,Q.U.B.E. 2,77,PS4,"Sci-Fi,Action,Shooter,First-Person,Arcade",Toxic Games
6.8,E10+,Burnout Paradise Remastered,82,PS4,"Racing,Arcade,Automobile","Criterion Games, STELLAR ENTERTAINMENT SOFTWARE LTD"
3.5,E,Beast Quest,33,PS4,"Action,General",Maximum Games
6.3,E10+,Surviving Mars,74,PS4,"Strategy,Management,Government",Haemimont Games
7.0,E,Pure Farming 2018,68,PS4,"Simulation,Virtual,Career",Techland
6.9,M,Attack on Titan 2,75,PS4,"Action,General",Omega Force
5.5,T,ARK Park,50,PS4,"Adventure,3D,First-Person",Snail Games
6.4,T,Titan Quest,55,PS4,"Role-Playing,Action RPG",THQ Nordic
6.0,M,Assassin's Creed Rogue Remastered,71,PS4,"Action Adventure,Open-World",Ubisoft
3.2,T,World of Warriors,62,PS4,"Action,General",Mind Candy
5.4,T,The Station,61,PS4,"Adventure,3D,First-Person",The Station
1.4,M,Metal Gear Survive,60,PS4,"Action Adventure,General",Konami
7.1,T,Crossing Souls,75,PS4,"Action Adventure,General",Fourattic
6.2,T,Iconoclasts,83,PS4,"Action Adventure,Open-World","Joakim Sandberg, Konjak"
7.5,M,Accounting+,74,PS4,"Adventure,3D,First-Person",Crows Crows Crows
7.3,M,Assassin's Creed Origins: The Hidden Ones,73,PS4,"Action Adventure,Open-World",Ubisoft Montreal
5.4,E10+,Shooty Fruity,79,PS4,"Action,Shooter,Light Gun",nDreams
4.2,M,Little Red Lie,77,PS4,"Adventure,General",WZOGI
6.2,M,The Inpatient,59,PS4,"Action Adventure,Survival",SuperMassive Games
6.3,T,Beholder: Complete Edition,63,PS4,"Strategy,General",Warm Lamp Games
7.7,M,Life is Strange: Before the Storm - Episode 3: Hell is Empty,77,PS4,"Action Adventure,General",Deck Nine Games
7.3,,AO Tennis,44,PS4,"Sports,Individual,Tennis",Big Ant Studios
6.1,E,Kerbal Space Program: Enhanced Edition,64,PS4,"Simulation,Space,Combat",BlitWorks
7.3,T,Street Fighter V: Arcade Edition,87,PS4,"Action,Fighting,2D",Capcom
5.1,E,InnerSpace,69,PS4,"Simulation,Flight,Civilian",PolyKnight Games
6.2,M,Batman: The Enemy Within - Episode 4: What Ails You,77,PS4,"Adventure,Point-and-Click",Telltale Games
8.0,T,Dragon Ball FighterZ,87,PS4,"Action,Fighting,2D",Arc System Works
7.3,M,Wulverblade,75,PS4,"Action,Beat-'Em-Up,2D",Darkwind Media
7.2,E10+,Lost Sphear,68,PS4,"Role-Playing,Japanese-Style",Tokyo RPG Factory
6.4,E10+,Celeste,91,PS4,"Action,Platformer,2D",Matt Makes Games Inc.
7.3,T,Digimon Story Cyber Sleuth: Hacker's Memory,73,PS4,"Role-Playing,Japanese-Style",Media Vision
7.6,T,Out of Ammo,47,PS4,"Action,Shooter,First-Person,Arcade",RocketWerkz
7.8,T,Monster Hunter: World,90,PS4,"Role-Playing,Action RPG",Capcom
2.7,M,Call of Duty: WWII - The Resistance,71,PS4,"Action,Shooter,First-Person,Arcade",Sledgehammer Games
5.2,T,Strikers Edge,68,PS4,"Action,Shooter,Shoot-'Em-Up,Top-Down",Fun Punch Games
3.4,T,EA Sports UFC 3,75,PS4,"Sports,Individual,Combat,Boxing / Martial Arts",EA Sports
7.5,E10+,A Hat in Time,79,PS4,"Action,Platformer,3D",Gears for Breakfast
7.6,M,South Park: The Fractured But Whole,79,PS4,"Role-Playing,General",Ubisoft San Francisco
7.2,T,Cold Iron,71,PS4,"Action Adventure,General",Catch & Release
6.4,M,Elex,58,PS4,"Role-Playing,Western-Style",Piranha Bytes
