user_ranking,user_name,game_platform,user_average_ranking,game_title
8,Germaximus,PlayStation 4,0.0,Omensight
8,GBG_Jason,Xbox One,7.4,Robocraft Infinity
0,ColbyTurkey,PlayStation 4,0.0,Laser League
9,FMstereo,PlayStation 4,0.0,Destiny
9,IvyPace,Wii U,0.0,Tokyo Mirage Sessions #FE
7,TheCoffeeTalker,Wii,0.0,Arc Rise Fantasia
10,GBG_Jason,Xbox One,7.4,SUPERHOT
9,GBG_Jason,PlayStation 4,7.4,Octahedron
9,WereSuricat,Switch,9.9,I Am Setsuna
9,GBG_Jason,PC,7.4,Into the Breach
7,GBG_Jason,Xbox One,7.4,NORTH
10,Solasir,Xbox One,0.0,Elex
10,Solasir,PC,0.0,Elex
10,MixableFire,Wii U,0.0,Mario Kart 8
9,TheMitch,Wii U,8.6,Need for Speed: Most Wanted U
9,N1ntendo,Wii U,0.0,Stick it to the Man!
9,GBG_Jason,PlayStation 4,7.4,DEADBOLT
6,bobobolas,PlayStation 4,8.0,Just Cause 3
4,Lasthonestman,PlayStation 4,0.0,XCOM 2: War of the Chosen
8,bobobolas,PlayStation 4,8.0,Dark Souls III
10,bobobolas,PC,8.0,X-COM: Apocalypse
7,bobobolas,PlayStation 4,8.0,XCOM 2: War of the Chosen
9,TheMitch,Wii U,8.6,CastleStorm
9,TheMitch,Wii U,8.6,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien
7,TheMitch,Wii U,8.6,Giana Sisters: Twisted Dreams
9,GBG_Jason,PlayStation 4,7.4,Strikers Edge
7,GBG_Jason,PC,7.4,LEGRAND LEGACY: Tale of the Fatebounds
7,TheMitch,Wii U,8.6,Mighty Switch Force! Hyper Drive Edition
9,TheMitch,Wii U,8.6,Puddle
8,TheMitch,Wii U,8.6,Nano Assault Neo
7,GBG_Jason,Xbox One,7.4,Marvel vs. Capcom: Infinite
9,GBG_Jason,Xbox One,7.4,Bulletstorm: Full Clip Edition
5,McGillotine,Xbox One,5.7,Dishonored 2
8,ITZZZPERRY,Xbox One,7.9,Battlefield 4
6,ITZZZPERRY,Xbox 360,7.9,Far Cry 3: Blood Dragon
10,ITZZZPERRY,PlayStation 4,7.9,Journey
7,GBG_Jason,Xbox One,7.4,Tekken 7
9,EternalTouch,PlayStation 4,0.0,Shantae: Half-Genie Hero
10,ragegames,Switch,0.0,The Legend of Zelda: Breath of the Wild
7,raccoondaddy,PlayStation 3,7.8,Hotline Miami
9,TheMitch,Wii U,8.6,Nintendo Land
8,TheMitch,Wii U,8.6,Tekken Tag Tournament 2: Wii U Edition
7,ITZZZPERRY,Xbox One,7.9,The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One
